ID,Usia,Pendapatan,Gender,Status_Pekerjaan,Pendidikan,Jml_Keluarga,Transaksi_BulanIni,Status_Kesehatan,Tingkat_Konsumsi
1,56,119110393.63732584,P,Wiraswasta,SMA,6,13,Sakit Ringan,Rendah
2,69,65104683.7869547,P,Pelajar,D3,6,20,Sakit Ringan,Tinggi
3,46,91591215.61209002,L,Pekerja Swasta,SMA,5,4,Sakit Berat,Rendah
4,32,97060442.5545035,L,Pekerja Swasta,S3,1,12,Sakit Ringan,Rendah
5,60,178444639.00560147,L,Pekerja Swasta,S1,5,7,Sakit Berat,Tinggi
6,25,192962747.7432127,P,Pekerja Swasta,D3,1,5,Sehat,Sedang
7,38,180740245.23136947,L,Wiraswasta,S3,4,11,Sehat,Sedang
8,56,149452044.3293563,P,Pegawai Negeri,S1,3,6,Sakit Ringan,Rendah
9,36,125298692.04904793,L,Wiraswasta,D3,4,10,Sakit Ringan,Rendah
10,40,144067094.3838719,P,Wiraswasta,S1,3,7,Sehat,Rendah
11,28,189039659.73188403,L,Pelajar,S2,6,8,Sehat,Rendah
12,28,64999772.34028972,L,Wiraswasta,S1,1,3,Sakit Ringan,Tinggi
13,41,116321691.38121289,P,Pekerja Swasta,S2,3,4,Sehat,Sedang
14,70,144129443.42007342,L,Pelajar,S2,4,3,Sakit Ringan,Sedang
15,53,142264460.23836944,L,Pelajar,S1,4,11,Sehat,Rendah
16,57,65410212.72383056,L,Pelajar,S2,4,17,Sehat,Tinggi
17,41,125611674.93015534,P,Pelajar,D3,5,14,Sakit Ringan,Tinggi
18,20,163264365.63562816,L,Pelajar,S2,4,7,Sakit Ringan,Rendah
19,39,105514216.4090439,P,Pekerja Swasta,SMA,5,10,Sakit Ringan,Rendah
20,70,162793653.8057723,L,Pegawai Negeri,D3,2,13,Sakit Ringan,Sedang
21,19,84778867.59581986,L,Pegawai Negeri,D3,1,6,Sakit Berat,Rendah
22,41,188976822.8894766,P,Pelajar,D3,2,15,Sakit Berat,Rendah
23,61,116107119.2898382,P,Pegawai Negeri,SMA,2,7,Sakit Ringan,Sedang
24,47,127270631.14267057,P,Wiraswasta,SMA,5,10,Sakit Berat,Sedang
25,55,25645082.38482591,P,Pegawai Negeri,SMA,5,0,Sehat,Tinggi
26,19,50648444.68314697,P,Wiraswasta,SMA,1,16,Sakit Ringan,Sedang
27,38,133928098.48478805,P,Pekerja Swasta,SMA,1,6,Sakit Berat,Rendah
28,50,95576666.92080882,L,Pelajar,S3,6,17,Sakit Ringan,Tinggi
29,29,111469482.28247145,L,Wiraswasta,S3,1,11,Sehat,Rendah
30,39,31334853.57206608,L,Pekerja Swasta,SMA,4,19,Sehat,Sedang
31,61,170144342.91386917,L,Pekerja Swasta,D3,4,20,Sakit Ringan,Tinggi
32,42,161211008.4133191,P,Pelajar,S2,1,4,Sakit Berat,Tinggi
33,66,53363715.62993291,L,Pegawai Negeri,S2,5,5,Sakit Ringan,Tinggi
